Name,Ion,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean GSvolume_pa,Ion Density,Ion Firstlonization,battery_A2,battery_X1,battery_X3,battery_X4,stable_X1,stable_X3,stable_X4,solar_A1,solar_B,solar_X3,photo_B,adsorption_B,diffusion_A1,diffusion_X3
LiNaPbFClBrI,Li+,,,,,,,,,,,,,,,,,,,,
KRbGeFClBrI,Zn2+,,,,,,,,,,,,,,,,,,,,
RbCsSnFClBrI,K+,,,,,,,,,,,,,,,,,,,,
RbCsGeFFClI,Na+,,,,,,,,,,,,,,,,,,,,
LiNaGeFClBrI,Al3+,,,,,,,,,,,,,,,,,,,,
LiNaSnFClBrI,Ca2+,,,,,,,,,,,,,,,,,,,,
RbCsGeFClBrI,Mg2+,,,,,,,,,,,,,,,,,,,,
RbCsSnFFBrI,F-,,,,,,,,,,,,,,,,,,,,
NaKGeFClBrI,Li+,,,,,,,,,,,,,,,,,,,,
NaKSnFClBrI,Zn2+,,,,,,,,,,,,,,,,,,,,
KRbGeFClBrI,K+,,,,,,,,,,,,,,,,,,,,
KRbSnFClBrI,Na+,,,,,,,,,,,,,,,,,,,,
LiCsGeFClBrI,Al3+,,,,,,,,,,,,,,,,,,,,
LiCsSnFClBrI,Ca2+,,,,,,,,,,,,,,,,,,,,
LiCsGeBrBrBrI,Mg2+,,,,,,,,,,,,,,,,,,,,
LiCsGeFClBrI,F-,,,,,,,,,,,,,,,,,,,,
